run_id,video,start,end,hoop_config,model,imgsz,confidence,tracker,possession_dist_px,upward_trigger,made_window,hoop_pad
88,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
89,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
90,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
91,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
92,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
93,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
94,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
95,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
96,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
97,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
98,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
99,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
100,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
101,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
102,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
103,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
104,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
105,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
106,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
107,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
108,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
109,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
110,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
111,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
112,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
113,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
114,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
115,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
116,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
117,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
118,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
119,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
120,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
121,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
122,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
123,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
124,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
125,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
126,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
127,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
128,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
129,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
130,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
131,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
132,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
133,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
134,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
135,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
136,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
137,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
138,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
139,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
140,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
141,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
142,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
143,1v1-ddg.mp4,522.88,584.97,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
144,1v1-ddg.mp4,929.42,990.54,experiments/demo/hoop_configs/1v1-ddg.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
